movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
morvern callar,drama,breasts cleavage female rear nudity girl in panties public nudity,samantha morton,bryan dick,paul popplewell,lynne ramsay,drama breasts cleavage female rear nudity girl in panties public nudity samantha morton bryan dick paul popplewell lynne ramsay
beastmaster 2: through the portal of time,action adventure fantasy sci-fi,beast beastmaster psychotronic sword and sorcery warrior,michael berryman,kari wuhrer,marc singer,sylvio tabet,action adventure fantasy sci-fi beast beastmaster psychotronic sword and sorcery warrior michael berryman kari wuhrer marc singer sylvio tabet
the 5th quarter,biography drama sport,athletic training football practice funeral gymnasium man crying,aidan quinn,kendrick cross,sammy nagi njuguna,rick bieber,biography drama sport athletic training football practice funeral gymnasium man crying aidan quinn kendrick cross sammy nagi njuguna rick bieber
the flower of evil,drama,bordeaux election mayor pamphlet political thriller,benoît magimel,nathalie baye,mélanie doutey,claude chabrol,drama bordeaux election mayor pamphlet political thriller benoît magimel nathalie baye mélanie doutey claude chabrol
the greatest,drama romance,car crash loss self help group teenage mother title directed by female,jennifer ehle,zoë kravitz,cara seymour,shana feste,drama romance car crash loss self help group teenage mother title directed by female jennifer ehle zoë kravitz cara seymour shana feste
snow flower and the secret fan,drama history,car hitting pedestrian china fan nineteenth century reversal of fortune,bingbing li,russell wong,ji-hyun jun,wayne wang,drama history car hitting pedestrian china fan nineteenth century reversal of fortune bingbing li russell wong ji-hyun jun wayne wang
come early morning,drama romance,church drink knocking on a door love three word title,tim blake nelson,diane ladd,ritchie montgomery,joey lauren adams,drama romance church drink knocking on a door love three word title tim blake nelson diane ladd ritchie montgomery joey lauren adams
lucky break,comedy crime romance,escape prison prison escape sadism solitary confinement,james nesbitt,olivia williams,peter mcnamara,peter cattaneo,comedy crime romance escape prison prison escape sadism solitary confinement james nesbitt olivia williams peter mcnamara peter cattaneo
julia,drama,1930s female protagonist nazi romantic friendship writer,meryl streep,jane fonda,vanessa redgrave,fred zinnemann,drama 1930s female protagonist nazi romantic friendship writer meryl streep jane fonda vanessa redgrave fred zinnemann
"surfer, dude",comedy,barefoot endorsement surfboard virtual reality waves,matthew mcconaughey,scott glenn,sarah wright,s.r. bindler,comedy barefoot endorsement surfboard virtual reality waves matthew mcconaughey scott glenn sarah wright s.r. bindler
lake of fire,documentary,abortion southern accent title based on the bible trial usa,noam chomsky,pat buchanan,bill baird,tony kaye,documentary abortion southern accent title based on the bible trial usa noam chomsky pat buchanan bill baird tony kaye
11:14,comedy crime drama,convenience store multiple perspectives murder paramedic van,henry thomas,barbara hershey,shawn hatosy,greg marcks,comedy crime drama convenience store multiple perspectives murder paramedic van henry thomas barbara hershey shawn hatosy greg marcks
men of war,action drama thriller,cockney accent fight island machismo mercenary,catherine bell,kevin tighe,tim guinee,perry lang,action drama thriller cockney accent fight island machismo mercenary catherine bell kevin tighe tim guinee perry lang
don mckay,drama mystery thriller,dead body dead body in a freezer dead body wrapped in carpet person in a car trunk school janitor,pruitt taylor vince,m. emmet walsh,robert wahlberg,jake goldberger,drama mystery thriller dead body dead body in a freezer dead body wrapped in carpet person in a car trunk school janitor pruitt taylor vince m. emmet walsh robert wahlberg jake goldberger
deadfall,crime drama thriller,police officer police officer killed police officer shot sex scene,charlie hunnam,olivia wilde,sissy spacek,stefan ruzowitzky,crime drama thriller police officer police officer killed police officer shot sex scene charlie hunnam olivia wilde sissy spacek stefan ruzowitzky
a shine of rainbows,drama family,island love new home orphan rainbow,connie nielsen,aidan quinn,john bell,vic sarin,drama family island love new home orphan rainbow connie nielsen aidan quinn john bell vic sarin
the hit list,action thriller,die hard scenario engineer held at gunpoint race against time shot to death,drew waters,sean cook,cole hauser,william kaufman,action thriller die hard scenario engineer held at gunpoint race against time shot to death drew waters sean cook cole hauser william kaufman
emma,comedy drama romance,friendship love triangle matchmaker naivety opposites attract,romola garai,blake ritson,rupert evans,,comedy drama romance friendship love triangle matchmaker naivety opposites attract romola garai blake ritson rupert evans 
videodrome,horror mystery sci-fi thriller,cyberpunk hallucination illegality snuff film surrealism,debbie harry,leslie carlson,reiner schwarz,david cronenberg,horror mystery sci-fi thriller cyberpunk hallucination illegality snuff film surrealism debbie harry leslie carlson reiner schwarz david cronenberg
l'auberge espagnole,comedy drama,apartment erasmus language student trip,romain duris,cécile de france,iddo goldberg,cédric klapisch,comedy drama apartment erasmus language student trip romain duris cécile de france iddo goldberg cédric klapisch
song one,drama music,musician number in title recording sibling,anne hathaway,shawn parsons,li jun li,kate barker-froyland,drama music musician number in title recording sibling anne hathaway shawn parsons li jun li kate barker-froyland
murder by numbers,crime mystery thriller,disposing of a dead body high school student murder sociopath teenage boy,ryan gosling,chris penn,agnes bruckner,barbet schroeder,crime mystery thriller disposing of a dead body high school student murder sociopath teenage boy ryan gosling chris penn agnes bruckner barbet schroeder
winter in wartime,drama history war,horse nazi occupation resistance movement uncle nephew relationship,yorick van wageningen,tygo gernandt,martijn lakemeier,martin koolhoven,drama history war horse nazi occupation resistance movement uncle nephew relationship yorick van wageningen tygo gernandt martijn lakemeier martin koolhoven
freaky deaky,comedy crime thriller,black panties bomb squad car bomb dynamite girl in panties,billy burke,michael jai white,bill duke,charles matthau,comedy crime thriller black panties bomb squad car bomb dynamite girl in panties billy burke michael jai white bill duke charles matthau
the train,thriller war,art french german painting train,jeanne moreau,paul scofield,michel simon,john frankenheimer,thriller war art french german painting train jeanne moreau paul scofield michel simon john frankenheimer
trade of innocents,drama thriller,angkor wat human trafficking sex slavery sex tourism,mira sorvino,john billingsley,trieu tran,christopher m. bessette,drama thriller angkor wat human trafficking sex slavery sex tourism mira sorvino john billingsley trieu tran christopher m. bessette
the protector,action crime drama thriller,die hard scenario elephant long take police sydney australia,jon foo,nathan jones,johnny nguyen,prachya pinkaew,action crime drama thriller die hard scenario elephant long take police sydney australia jon foo nathan jones johnny nguyen prachya pinkaew
stiff upper lips,comedy,class conflict edwardian era england sexual awakening spoof,sean pertwee,frank finlay,samuel west,gary sinyor,comedy class conflict edwardian era england sexual awakening spoof sean pertwee frank finlay samuel west gary sinyor
the inbetweeners,comedy romance,black comedy bully friend house practical joke,simon bird,belinda stewart-wilson,james buckley,,comedy romance black comedy bully friend house practical joke simon bird belinda stewart-wilson james buckley 
bend it like beckham,comedy drama romance sport,hinduism marriage engagement soccer team tradition,archie panjabi,parminder nagra,anupam kher,gurinder chadha,comedy drama romance sport hinduism marriage engagement soccer team tradition archie panjabi parminder nagra anupam kher gurinder chadha
sunshine state,drama romance,african american business coastline florida real estate,miguel ferrer,edie falco,timothy hutton,john sayles,drama romance african american business coastline florida real estate miguel ferrer edie falco timothy hutton john sayles
crossover,action sport,african american basketball basketball movie critically bashed tv commercial,wesley jonathan,wayne brady,eva marcille,preston a. whitmore ii,action sport african american basketball basketball movie critically bashed tv commercial wesley jonathan wayne brady eva marcille preston a. whitmore ii
